t,x,y,yaw,roll,pitch,state,target_id
1789540242.4639404,11.698002346451533,0.8064660745237854,0.5790220455985219,1.561679590124847e-11,9.4910926887078e-10,NAVIGATING,door_blue_df7a1e
1789540242.814053,11.698002365585964,0.8052928326278527,0.6113254540104164,1.51558128210719e-11,9.481436511088814e-10,NAVIGATING,door_blue_df7a1e
1789540243.163983,11.698002380917348,0.8045618075748209,0.6377353548066599,1.4853483019831326e-11,9.47320655443772e-10,NAVIGATING,door_blue_df7a1e
1789540243.5141191,11.698002392776495,0.8041372962538328,0.6585344404018348,1.4489107807113574e-11,9.467068096614941e-10,NAVIGATING,door_blue_df7a1e
1789540243.8647254,11.698002407098294,0.803805526836551,0.6841272135404594,1.409772799198996e-11,9.45979993804e-10,NAVIGATING,door_blue_df7a1e
1789540244.213931,11.698006578815384,0.8036928318853189,0.7142671752428731,7.35529683856126e-12,9.431654939760723e-10,NAVIGATING,door_blue_df7a1e
1789540244.563854,11.698244887160351,0.803692790610055,0.7447327067018977,-1.0654836381034529e-11,9.371624109955026e-10,NAVIGATING,door_blue_df7a1e
1789540244.9148057,11.698517847921527,0.8036927539894015,0.7707910976568423,1.0328062985424953e-11,9.830916681586024e-10,NAVIGATING,door_blue_df7a1e
1789540245.2650685,11.698558167137627,0.803684720660522,0.792045609711597,6.1863259348028314e-12,9.980896189414838e-10,NAVIGATING,door_blue_df7a1e
1789540245.614421,11.698558211778554,0.80341847792124,0.8234686042727235,-1.4227065268713258e-11,1.0039490454431806e-09,NAVIGATING,door_blue_df7a1e
1789540245.963747,11.698558253399442,0.8031475425820799,0.8540114640805221,1.0011298768579841e-11,9.465958921729016e-10,NAVIGATING,door_blue_df7a1e
1789540246.313566,11.69861325123471,0.8031370642086908,0.8790655146658124,-4.48498040720579e-12,9.381049779309596e-10,NAVIGATING,door_blue_df7a1e
1789540246.6637123,11.69887765182535,0.8031370500571217,0.9045209930887257,-1.2658776154070922e-11,9.399981150351569e-10,NAVIGATING,door_blue_df7a1e
1789540247.0139787,11.699247827252933,0.8031370383505824,0.925208989960063,-1.3123774762978702e-11,9.4300884298566e-10,NAVIGATING,door_blue_df7a1e
1789540247.3641565,11.700069740344052,0.8031370201243354,0.9567872373738754,-1.35916728741658e-11,9.448858292828903e-10,NAVIGATING,door_blue_df7a1e
1789540247.714077,11.701214157315615,0.8031370010829262,0.989030851316983,-1.439480237272113e-11,9.44614520216599e-10,NAVIGATING,door_blue_df7a1e
1789540248.063684,11.70268350287543,0.8031369812523115,1.0219522925330429,-1.4671903784426263e-11,9.448124260431115e-10,NAVIGATING,door_blue_df7a1e
1789540248.4169586,11.70415757657482,0.803136964121348,1.0499147492540482,-1.501637891201334e-11,9.456689426249552e-10,NAVIGATING,door_blue_df7a1e
1789540248.7639217,11.705859480579939,0.8031369464469756,1.0783668641851003,-1.533212288994864e-11,9.467263237652174e-10,NAVIGATING,door_blue_df7a1e
1789540249.1138089,11.708203260486755,0.8031369245384453,1.1131701617622747,-1.5677574469529842e-11,9.479317803015153e-10,NAVIGATING,door_blue_df7a1e
1789540249.464243,11.710407914362706,0.803136905710254,1.1427369566600258,-1.581647130180485e-11,9.488544940054993e-10,NAVIGATING,door_blue_df7a1e
1789540249.8141263,11.712841074146647,0.8031368863873681,1.172830152713135,-1.6082204505546492e-11,9.501243422799667e-10,NAVIGATING,door_blue_df7a1e
1789540250.1638844,11.716061762404266,0.8031368625655964,1.20965708600686,-1.6098921756871054e-11,9.51885668879896e-10,NAVIGATING,door_blue_df7a1e
1789540250.5138738,11.718995326627173,0.8031368422134005,1.2409610315434807,-1.624273195514824e-11,9.534034169648503e-10,NAVIGATING,door_blue_df7a1e
1789540250.863875,11.722813102277152,0.8031368172275158,1.2792908238812732,-1.628432524685846e-11,9.556569439843108e-10,NAVIGATING,door_blue_df7a1e
1789540251.2158027,11.726952262814915,0.8031367916789377,1.318489105381702,-1.6233950062963202e-11,9.576754203378305e-10,NAVIGATING,door_blue_df7a1e
1789540251.5638814,11.72980261598531,0.8031344472967568,1.3443231496865762,1.193553978960635e-11,9.766341979629441e-10,NAVIGATING,door_blue_df7a1e
1789540251.9140246,11.7327049254069,0.8031344253805003,1.3698964850050084,-6.27462697453373e-12,9.670718901399182e-10,NAVIGATING,door_blue_df7a1e
1789540252.265138,11.736195489004832,0.8031331003515321,1.3997743086506886,6.169983548413107e-11,9.917153556720671e-10,NAVIGATING,door_blue_df7a1e
1789540252.6139634,11.738900264536966,0.8031330738134029,1.4223892202809416,6.958964767677728e-12,9.704515262668134e-10,NAVIGATING,door_blue_df7a1e
1789540252.9637618,11.741692744176643,0.8031330467811646,1.4453094842362513,-4.4504287654713714e-12,9.660944253758182e-10,NAVIGATING,door_blue_df7a1e
1789540253.3139195,11.742605342376482,0.8031330927245608,1.4527083726300993,1.7337125206182148e-10,1.0283941640270849e-09,NAVIGATING,door_blue_df7a1e
1789540253.6639383,11.742605342376482,0.8031330927245608,1.4527083726300993,1.7337125206182148e-10,1.0283941640270849e-09,NAVIGATING,door_blue_df7a1e
1789540254.015875,11.742605342376482,0.8031330927245608,1.4527083726300993,1.7337125206182148e-10,1.0283941640270849e-09,NAVIGATING,door_blue_df7a1e
1789540254.3637462,11.742605342376482,0.8031330927245608,1.4527083726300993,1.7337125206182148e-10,1.0283941640270849e-09,NAVIGATING,door_blue_df7a1e
1789540254.7138267,11.742605342376482,0.8031330927245608,1.4527083726300993,1.7337125206182148e-10,1.0283941640270849e-09,NAVIGATING,door_blue_df7a1e
1789540255.0639622,11.742605342376482,0.8031330927245608,1.4527083726300993,1.7337125206182148e-10,1.0283941640270849e-09,NAVIGATING,door_blue_df7a1e
1789540255.4138494,11.742605342376482,0.8031330927245608,1.4527083726300993,1.7337125206182148e-10,1.0283941640270849e-09,NAVIGATING,door_blue_df7a1e
1789540255.7639353,11.742605342376482,0.8031330927245608,1.4527083726300993,1.7337125206182148e-10,1.0283941640270849e-09,NAVIGATING,door_blue_df7a1e
1789540256.1139197,11.742605342376482,0.8031330927245608,1.4527083726300993,1.7337125206182148e-10,1.0283941640270849e-09,NAVIGATING,door_blue_df7a1e
1789540256.463989,11.742605342376482,0.8031330927245608,1.4527083726300993,1.7337125206182148e-10,1.0283941640270849e-09,NAVIGATING,door_blue_df7a1e
1789540256.8136332,11.742605342376482,0.8031330927245608,1.4527083726300993,1.7337125206182148e-10,1.0283941640270849e-09,NAVIGATING,door_blue_df7a1e
1789540257.1638503,11.742605342376482,0.8031330927245608,1.4527083726300993,1.7337125206182148e-10,1.0283941640270849e-09,NAVIGATING,door_blue_df7a1e
1789540257.5151103,11.742605342376482,0.8031330927245608,1.4527083726300993,1.7337125206182148e-10,1.0283941640270849e-09,NAVIGATING,door_blue_df7a1e
1789540257.864303,11.742605342376482,0.8031330927245608,1.4527083726300993,1.7337125206182148e-10,1.0283941640270849e-09,NAVIGATING,door_blue_df7a1e
1789540258.2143843,11.742605342376482,0.8031330927245608,1.4527083726300993,1.7337125206182148e-10,1.0283941640270849e-09,NAVIGATING,door_blue_df7a1e
1789540258.5654695,11.742605342376482,0.8031330927245608,1.4527083726300993,1.7337125206182148e-10,1.0283941640270849e-09,NAVIGATING,door_blue_df7a1e
1789540258.915176,11.742605342376482,0.8031330927245608,1.4527083726300993,1.7337125206182148e-10,1.0283941640270849e-09,NAVIGATING,door_blue_df7a1e
1789540259.264121,11.742605342376482,0.8031330927245608,1.4527083726300993,1.7337125206182148e-10,1.0283941640270849e-09,NAVIGATING,door_blue_df7a1e
1789540259.6138368,11.742605342376482,0.8031330927245608,1.4527083726300993,1.7337125206182148e-10,1.0283941640270849e-09,NAVIGATING,door_blue_df7a1e
1789540259.963582,11.74242050752086,0.8031333054963071,1.4506637960800464,1.9611472525790413e-10,1.0195597780604823e-09,NAVIGATING,door_blue_df7a1e
1789540260.3143764,11.738617788322054,0.803133400466373,1.4191811870529292,2.2145115342199263e-10,1.044268556869963e-09,NAVIGATING,door_blue_df7a1e
1789540260.6654837,11.73080455654379,0.8031334679679867,1.3521992627946915,7.438459548851219e-11,1.0209785722926894e-09,NAVIGATING,door_blue_df7a1e
1789540261.0137725,11.723815971155153,0.8031334901687208,1.2878480954236329,-1.846877989465724e-11,9.764275240611866e-10,NAVIGATING,door_blue_df7a1e
1789540261.363926,11.716369441526401,0.8031335153195258,1.2117702703073803,-6.729933076469056e-11,9.253468175581854e-10,NAVIGATING,door_blue_df7a1e
